work_id,work_title,work_source,work_authors,referenced_work_ids,referenced_titles,referenced_sources,referenced_authors
w3164401570,geometric deep learning and equivariant neural networks,artificial intelligence review,"jan e. gerken, jimmy aronsson, oscar carlsson, hampus linander, fredrik ohlsson, christoffer petersson, daniel persson","w1509036934, w1551865200, w1557324374","the topology of fibre bundles., principles of harmonic analysis, introduction to smooth manifolds","source not found, universitext, graduate texts in mathematics","norman steenrod, anton deitmar, siegfried echterhoff, john m. lee"
w3180604690,modality specific u-net variants for biomedical image segmentation: a survey,artificial intelligence review,"narinder singh punn, sonali agarwal","w126481648, w1493956763, w1533861849","medical image segmentation: a brief survey, a survey on artificial intelligence approaches for medical image classification, understanding the difficulty of training deep feedforward neural networks","springer ebooks, indian journal of science and technology, international conference on artificial intelligence and statistics","ahmed elnakib, georgy gimel’farb, jasjit s. suri, ayman el‐baz, s. n. deepa, xavier glorot, yoshua bengio"
w3183048323,a survey of uncertainty in deep neural networks,artificial intelligence review,"jakob gawlikowski, cedrique rovile njieutcheu tassi, mohsin ali, jong‐seok lee, matthias humt, jianxiang feng, anna kruspe, rudolph triebel, peter jung, ribana roscher, muhammad shahzad, wen yang, richard bamler, xiao xiang zhu","w1173687456, w123701566, w1495367770","introspective classification for robot perception, consistency and fluctuations for stochastic gradient langevin dynamics, bayesian learning of neural networks adapted to changes of prior probabilities","the international journal of robotics research, journal of machine learning research, lecture notes in computer science","hugo grimmett, rudolph triebel, rohan paul, ingmar posner, yee whye teh, alexandre h. thiéry, sebastian j. vollmer, yoshifusa ito, cidambi srinivasan, hiroyuki izumi"
w3183420623,"high-accuracy model-based reinforcement learning, a survey",artificial intelligence review,"aske plaat, walter a. kosters, mike preuß","w116375701, w1485009520, w1488730473","metalearning: applications to data mining, convolutional lstm network: a machine learning approach for precipitation nowcasting, the maxq method for hierarchical reinforcement learning","source not found, arxiv (cornell university), international conference on machine learning","pavel brazdil, christophe giraud-carrier, carlos soares, ricardo vilalta, xingjian shi, zhourong chen, hao wang, dit‐yan yeung, wai kin wong, wang‐chun woo, thomas g. dietterich"
w3183903096,an overview of mixing augmentation methods and augmentation strategies,artificial intelligence review,"dominik lewy, jacek mańdziuk","w1686810756, w1797268635, w1846799578","very deep convolutional networks for large-scale image recognition, the caltech-ucsd birds-200-2011 dataset, fine-grained visual classification of aircraft","computer vision and pattern recognition, source not found, arxiv (cornell university)","karen simonyan, andrew zisserman, catherine wah, steve branson, peter welinder, pietro perona, serge belongie, subhransu maji, esa rahtu, juho kannala, matthew b. blaschko, andrea vedaldi"
w3191514888,applications of artificial neural networks in microorganism image analysis: a comprehensive review from conventional multilayer perceptron to popular convolutional neural network and potential visual transformer,artificial intelligence review,"jinghua zhang, chen li, yimin yin, jiawei zhang, marcin grzegorzek","w1486242652, w1498436455, w1501620655","medical microbiology and infection at a glance, learning representations by back-propagating errors, rough set theory &amp;#151; fundamental concepts, principals, data extraction, and applications","source not found, nature, source not found","stephen h. gillespie, kathleen b. bamford, david e. rumelhart, geoffrey e. hinton, ronald j. williams, silvia das dores rissino, germano lambert‐torres"
w3200113267,adversarial example detection for dnn models: a review and experimental comparison,artificial intelligence review,"ahmed aldahdooh, wassim hamidouche, sid ahmed fezza, olivier déforges","w1536680647, w1564743226, w1673923490","fast r-cnn, security evaluation of support vector machines in adversarial environments, intriguing properties of neural networks","source not found, springer ebooks, source not found","ross girshick, battista biggio, igino corona, blaine nelson, benjamin i. p. rubinstein, davide maiorca, giorgio fumera, giorgio giacinto, fabio roli, christian szegedy, wojciech zaremba, ilya sutskever, joan bruna, dumitru erhan, ian goodfellow, rob fergus"
w3201412947,a survey of bayesian network structure learning,artificial intelligence review,"neville k. kitson, anthony c. constantinou, zhigao guo, yang liu, kiattikun chobtham","w13176313, w1505382300, w1505477995","learning bayesian networks with discrete variables from data, learning bayesian belief networks based on the minimum description length principle: basic properties, the alarm monitoring system: a case study with two probabilistic inference techniques for belief networks","knowledge discovery and data mining, ieice transactions on fundamentals of electronics communications and computer sciences, lecture notes in medical informatics","peter spirtes, christopher meek, joe suzuki, ingo a. beinlich, henri j. suermondt, r. martin chavez, gregory f. cooper"
w3216755252,a survey on multi-objective hyperparameter optimization algorithms for machine learning,artificial intelligence review,"alejandro morales-hernández, inneke van nieuwenhuyse, sebastian rojas gonzalez","w114492606, w1502839085, w1510052597","a multiobjective ant colony system for vehicle routing problem with time windows., bi-criterion optimization with multi colony ant algorithms, unknown title","applied informatics, lecture notes in computer science, journal of global optimization","benjamín barán, matilde schaerer, steffen iredi, daniel merkle, martin middendorf, donald r. jones, matthias schonlau, william j. welch"
w4205250680,resources and components for gujarati nlp systems: a survey,artificial intelligence review,"nikita p. desai, vipul k. dabhi","w1487999662, w1544548656, w1973600096","study on similarity among indian languages using language verification framework, natural language processing : a paninian perspective, gh-map: translation system for sibling language pair gujarati--hindi","advances in artificial intelligence, source not found, csi transactions on ict","debapriya sengupta, goutam saha, akshar bharati, vineet chaitanya, rajeev sangal, k.v. ramakrishnamacharyulu, kalyani patel, jyoti pareek"
w4205334324,a hybrid approach combining ahp with todim for blockchain technology provider selection under the pythagorean fuzzy scenario,artificial intelligence review,"fang zhou, ting‐yu chen","w1829951598, w1980564456, w2065109455","extension of topsis to multiple criteria decision making with pythagorean fuzzy sets, intuitionistic fuzzy sets, compromise solution by mcdm methods: a comparative analysis of vikor and topsis","international journal of intelligent systems, fuzzy sets and systems, european journal of operational research","xiaolu zhang, zeshui xu, krassimir atanassov, serafim opricović, gwo‐hshiung tzeng"
w4205378885,data-driven effort estimation techniques of agile user stories: a systematic literature review,artificial intelligence review,"bashaer alsaadi, kawther saeedi","w1552070030, w1580177627, w168821456","functional size measures and effort estimation in agile development: a replicated study, agile estimation with monte carlo simulation, effort estimation in incremental software development projects using function points","lecture notes in business information processing, lecture notes in business information processing, communications in computer and information science","valentina lenarduzzi, maria ilaria lunesu, martina matta, davide taibi, juanjuan zang, josé antonio pow-sang, ricardo imbert"
w4205440051,decision support modeling for multiple criteria assessments using a likelihood-based consensus ranking method under pythagorean fuzzy uncertainty,artificial intelligence review,ting‐yu chen,"w1668569279, w1765570948, w1829951598","pythagorean membership grades, complex numbers, and decision making, fundamental properties of interval-valued pythagorean fuzzy aggregation operators, extension of topsis to multiple criteria decision making with pythagorean fuzzy sets","international journal of intelligent systems, international journal of intelligent systems, international journal of intelligent systems","ronald r. yager, ali m. abbasov, xindong peng, yong yang, xiaolu zhang, zeshui xu"
w4205632368,advantage matrix: two novel multi-attribute decision-making methods and their applications,artificial intelligence review,"bin yu, zeshui xu","w1965473535, w1966203073, w1974736332","how to select and how to rank projects: the promethee method, rough set based approaches to feature selection for case-based reasoning classifiers, electre methods with interaction between criteria: an extension of the concordance index","european journal of operational research, pattern recognition letters, european journal of operational research","jean pierre brans, ph. vincke, bertrand mareschal, maría salamó, maite lópez-sánchez, josé rui figueira, salvatore greco, bernard roy"
w4205655330,group decision-making with fermatean fuzzy soft expert knowledge,artificial intelligence review,"muhammad akram, ghous ali, josé carlos r. alcantud, aneesa riaz","w1597263797, w1668569279, w1892105458","some results for dual hesitant fuzzy sets, pythagorean membership grades, complex numbers, and decision making, multi q-fuzzy soft expert set and its application","journal of intelligent & fuzzy systems, international journal of intelligent systems, journal of intelligent & fuzzy systems","bin zhu, zeshui xu, ronald r. yager, ali m. abbasov, fatma adam, nasruddin hassan"
w4205812147,estimation of most effected cycles and busiest network route based on complexity function of graph in fuzzy environment,artificial intelligence review,"soumitra poulik, ganesh ghorai","w1496156369, w1545231783, w1565315122","fuzzy sets and their applications, handbook of molecular descriptors, fuzzy graphs and fuzzy hypergraphs","mathematical social sciences, methods and principles in medicinal chemistry, studies in fuzziness and soft computing","didier dubois, roberto todeschini, viviana consonni, john n. mordeson, premchand s. nair"
w4205939747,the intelligent critic framework for advanced optimal control,artificial intelligence review,"ding wang, mingming ha, mingming zhao","w1513689897, w1680219837, w1854776945","optimal adaptive control and differential games by reinforcement learning principles, value and policy iterations in optimal control and adaptive dynamic programming, handbook of learning and approximate dynamic programming","institution of engineering and technology ebooks, ieee transactions on neural networks and learning systems, ieee ebooks","draguna vrabie, kyriakos g. vamvoudakis, frank l. lewis, dimitri p. bertsekas, jennie si, andrew g. barto, warren b. powell, don wunsch"
w4206016550,design possibilities and challenges of dnn models: a review on the perspective of end devices,artificial intelligence review,"hanan hussain, p. s. tamizharasan, c. s. rahul","w1849277567, w2024752372, w2071879227","visualizing and understanding convolutional networks, surf cascade face detection acceleration on sandy bridge processor, always-on vision processing unit for mobile applications","lecture notes in computer science, source not found, ieee micro","matthew d. zeiler, rob fergus, eric li, yang liu, bin wang, jianguo li, ya-ti peng, brendan c. barry, cormac brick, fergal connor, david donohoe, david moloney, richard d. richmond, martin j. o’riordan, v. toma"
w4206041150,improved grey wolf optimizer based on opposition and quasi learning approaches for optimization: case study autonomous vehicle including vision system,artificial intelligence review,mahmoud elsisi,"w1511233954, w1827324116, w1961948334","automated driving and autonomous functions on road vehicles, vision-based lateral control of vehicles, an improved multi-objective population-based extremal optimization algorithm with polynomial mutation","vehicle system dynamics, source not found, information sciences","theodore j. gordon, mathias r lidberg, jana košecká, r. blasi, c. james taylor, jitendra malik, guo‐qiang zeng, jie chen, limin li, min-rong chen, lie wu, yuxiang dai, chongwei zheng"
w4206075111,three-way decision model under a large-scale group decision-making environment with detecting and managing non-cooperative behaviors in consensus reaching process,artificial intelligence review,"prasenjit mandal, sovan samanta, madhumangal pal, a. s. ranadive","w1268961902, w1969463949, w1969535228","consensus model for multi-criteria large-group emergency decision making considering non-cooperative behaviors and minority opinions, a decision theoretic framework for approximating concepts, triangular fuzzy decision-theoretic rough sets","decision support systems, international journal of man-machine studies, international journal of approximate reasoning","xuanhua xu, zhijiao du, xiaohong chen, yiyu yao, s. k. m. wong, decui liang, dun liu, witold pedrycz, hu pei"
w4206094475,a comprehensive review of the video-to-text problem,artificial intelligence review,"jesus perez-martin, benjamín bustos, silvio jamil f. guimarães, ivan sipiran, jorge eduardo pérez pérez, grethel coello said","w1498436455, w1536680647, w1573040851","learning representations by back-propagating errors, fast r-cnn, jointly modeling embedding and translation to bridge video and language","nature, source not found, source not found","david e. rumelhart, geoffrey e. hinton, ronald j. williams, ross girshick, yingwei pan, tao mei, ting yao, houqiang li, yong rui"
w4206195463,attribute reduction in an incomplete categorical decision information system based on fuzzy rough sets,artificial intelligence review,"jiali he, liangdong qu, zhihong wang, yiying chen, damei luo, ching‐feng wen","w1965543855, w1997362234, w2001692054","attribute selection based on a new conditional entropy for incomplete decision systems, variable precision rough set model, probabilistic rough set approximations","knowledge-based systems, journal of computer and system sciences, international journal of approximate reasoning","jianhua dai, wentao wang, haowei tian, liang liu, wojciech ziarko, yiyu yao"
w4206417793,brain-inspired models for visual object recognition: an overview,artificial intelligence review,"xi yang, jie yan, wen wang, shaoyi li, bo hu, jian lin","w1513100184, w1524855937, w1526492552","a naturalistic open source movie for optical flow evaluation, visual categorization and the primate prefrontal cortex: neurophysiology and behavior, stimulus-selective properties of inferior temporal neurons in the macaque","lecture notes in computer science, journal of neurophysiology, journal of neuroscience","daniel j. butler, jonas wulff, garrett b. stanley, michael j. black, david j. freedman, maximilian riesenhuber, tomaso poggio, earl k. miller, robert desimone, td albright, c g gross, charles j. bruce"
w4206515154,information-utilization strengthened equilibrium optimizer,artificial intelligence review,"xinming zhang, qiuying lin","w1978514911, w1979101093, w1997600725","an improved pso algorithm with a territorial diversity-preserving scheme and enhanced exploration–exploitation balance, competitive and cooperative particle swarm optimization with information sharing mechanism for global optimization problems, evolutionary programming made faster","swarm and evolutionary computation, information sciences, ieee transactions on evolutionary computation","behrooz ostadmohammadi arani, pooya mirzabeygi, masoud shariat panahi, yuhua li, zhi‐hui zhan, shujin lin, jun zhang, xiaonan luo, xin yao, yong liu, guangming lin"
w4206588195,a survey paper on design and implementation of multipliers for digital system applications,artificial intelligence review,"srikanth immareddy, s. arunmetha","w2017553624, w2314239640, w2343934186","array-based approximate arithmetic computing: a general model and applications to multiplier and squarer design, subthreshold circuit designing and implementation of finite field multiplier for cryptography application, area-delay efficient digit-serial multiplier based on &lt;inline-formula&gt; &lt;tex-math notation=""latex""&gt;$k$ &lt;/tex-math&gt; &lt;/inline-formula&gt;-partitioning scheme combined with tmvp block recombination approach","ieee transactions on circuits and systems i regular papers, procedia computer science, ieee transactions on very large scale integration (vlsi) systems","botang shao, peng li, praveen singh, vaibhav neema, shreeniwas daulatabad, ambika prasad shah, chiou‐yng lee, pramod kumar meher, chung-hsin liu"
w4206681343,knowmis-absa: an overview and a reference model for applications of sentiment analysis and aspect-based sentiment analysis,artificial intelligence review,"giuseppe d’aniello, matteo gaeta, ilaria la rocca","w113522833, w1572786359, w1595791987","aspect and entity extraction for opinion mining, sentiment analysis using product review data, textual affect sensing for sociable and expressive online communication","studies in big data, journal of big data, lecture notes in computer science","lei zhang, bing liu, xing fang, justin zhan, alena neviarouskaya, helmut prendinger, mitsuru ishizuka"
w4206722902,solutions to the routing problem: towards trustworthy autonomous vehicles,artificial intelligence review,lászló zsolt varga,"w1494976167, w1500428599, w1503349161","epistemic logic for ai and computer science, sink equilibria and convergence, unknown title","source not found, source not found, networks and spatial economics","john-jules ch. meyer, wiebe van der hoek, m. x. goemans, vahab mirrokni, adrian vetta, srinivas peeta, athanasios ziliaskopoulos"
w4206740177,a novel improved whale optimization algorithm to solve numerical optimization and real-world applications,artificial intelligence review,"sanjoy chakraborty, sushmita sharma, apu kumar saha, ashim saha","w1534637524, w1551940242, w1698059316","modern heuristic search methods, i. nonextensive statistical mechanics and thermodynamics: historical background and present status, jaya: a simple and new optimization algorithm for solving constrained and unconstrained optimization problems","kybernetes, springer ebooks, international journal of industrial engineering computations","alex m. andrew, constantino tsallis, r. venkata rao"
w4206780588,human activity recognition in artificial intelligence framework: a narrative review,artificial intelligence review,"neha gupta, suneet gupta, rajesh kumar pathak, vanita jain, parisa rashidi, jasjit s. suri","w1483019628, w1599494361, w1875013029","anticipating human activities using object affordances for reactive robotic response, human activity recognition from wireless sensor network data: benchmark and software, abnormal gait detection with rgb-d devices using joint motion history features","ieee transactions on pattern analysis and machine intelligence, atlantis ambient and pervasive intelligence, source not found","hema swetha koppula, ashutosh saxena, t.l.m. van kasteren, gwenn englebienne, ben kröse, alexandros andré chaaraoui, josé ramón padilla-lópez, francisco flórez‐revuelta"
w4206983514,using artificial intelligence technology to fight covid-19: a review,artificial intelligence review,"yong peng, enbin liu, shanbi peng, qikun chen, dangjian li, dianpeng lian","w1494363157, w1971396017, w1976581325","web-based participatory surveillance of infectious diseases: the influenzanet participatory surveillance experience, using artificial intelligence to improve hospital inpatient care, challenges and responses in human vaccine development","clinical microbiology and infection, ieee intelligent systems, current opinion in immunology","daniela paolotti, annasara carnahan, vittoria colizza, ken eames, john edmunds, m. gabriela m. gomes, carl koppeschaar, moa rehn, ronald smallenburg, clément turbelin, sander van noort, alessandro vespignani, daniel b. neill, stefan h. e. kaufmann, m. juliana mcelrath, d. j. lewis, giuseppe del giudice"
w4210410512,a complete framework for accurate recognition and prognosis of covid-19 patients based on deep transfer learning and feature classification approach,artificial intelligence review,"hossam magdy balaha, eman m. el-gendy, mahmoud m. saafan","w1677182931, w1934410531, w2001619934","delving deep into rectifiers: surpassing human-level performance on imagenet classification, a convolutional neural network cascade for face detection, the use of multiple measurements in taxonomic problems","source not found, source not found, annals of eugenics","kaiming he, xiangyu zhang, shaoqing ren, jian sun, haoxiang li, zhe lin, xiaohui shen, jonathan brandt, gang hua, ronald aylmer fisher"
w4210542188,multi-criteria decision-making for coronavirus disease 2019 applications: a theoretical analysis review,artificial intelligence review,"m. a. alsalem, a. h. alamoodi, o. s. albahri, kareem abbas dawood, r. t. mohammed, alhamzah alnoor, a. a. zaidan, a. s. albahri, b. b. zaidan, f. m. jumaah, jameel r. al‐obaidi","w1511881172, w1844859201, w189804332","a pilot study of fuzzy set modification of delphi*, multiple criteria decision-making techniques and their applications – a review of the literature from 2000 to 2014, analysing scientific networks through co-authorship","human systems management, economic research-ekonomska istraživanja, kluwer academic publishers ebooks","thomas j. murray, leo l. pipino, john p. van gigch, abbas mardani, ahmad jusoh, khalil md nor, zainab khalifah, norhayati mohmad zakwan, alireza valipour, wolfgang glänzel, a. schubert"
w4210631880,ai-aided general clinical diagnoses verified by third-parties with dynamic uncertain causality graph extended to also include classification,artificial intelligence review,"zhan zhang, yang jiao, mingxia zhang, bing wei, xiao liu, juan zhao, fengwei tian, jie hu, qin zhang","w197865394, w2000967095, w2026466441","neocognitron: a self-organizing neural network model for a mechanism of visual pattern recognition, dynamic uncertain causality graph for knowledge representation and probabilistic reasoning: directed cyclic graph and joint probability distribution, the methodology of dynamic uncertain causality graph for intelligent diagnosis of vertigo","lecture notes in biomathematics, ieee transactions on neural networks and learning systems, computer methods and programs in biomedicine","kunihiko fukushima, sei miyake, qin zhang, chunling dong, yanjun wang, qin zhang, sheng wang"
w4210763735,"the role of artificial intelligence and machine learning in wireless networks security: principle, practice and challenges",artificial intelligence review,"muhammad waqas, shanshan tu, zahid halim, sadaqat ur rehman, ghulam abbas, ziaul haq abbas","w1152223117, w1905328593, w1966809779","detection of known and unknown ddos attacks using artificial neural networks, distributed flood attack detection mechanism using artificial neural network in wireless mesh networks, network anomaly detection: methods, systems and tools","neurocomputing, security and communication networks, ieee communications surveys & tutorials","alan saied, richard e. overill, tomasz radzik, muhammad altaf khan, shafiullah khan, bilal shams, jaime lloret, monowar h. bhuyan, dhruba k. bhattacharyya, jugal kalita"
w4210780574,visual privacy attacks and defenses in deep learning: a survey,artificial intelligence review,"guangsheng zhang, bo liu, tianqing zhu, andi zhou, wanlei zhou","w1557833142, w1834627138, w1892323599","our data, ourselves: privacy via distributed noise generation, deep learning face attributes in the wild, beyond frontal faces: improving person recognition using multiple cues","lecture notes in computer science, source not found, source not found","cynthia dwork, krishnaram kenthapadi, frank mcsherry, ilya mironov, moni naor, ziwei liu, ping luo, wei wang, xiaoou tang, ning zhang, manohar paluri, yaniv taigman, rob fergus, lubomir bourdev"
w4210827551,"a survey on sentiment analysis methods, applications, and challenges",artificial intelligence review,"mayur wankhade, annavarapu chandra sekhara rao, chaitanya kulkarni","w1568201516, w1808640434, w1851422430","a statistical explanation of maxent for ecologists, a comparison of sentiment analysis techniques: polarizing movie blogs, survey of review spam detection using machine learning techniques","diversity and distributions, lecture notes in computer science, journal of big data","jane elith, steven j. phillips, trevor hastie, miroslav dudík, yung en chee, colin j. yates, michelle annett, grzegorz kondrak, mike crawford, taghi m. khoshgoftaar, joseph d. prusa, aaron n. richter, hamzah al najada"
w4210909794,a survey of inverse reinforcement learning,artificial intelligence review,"stephen adams, tyler cody, peter a. beling","w1496321300, w1521625446, w1527702126","predicting human reaching motion in collaborative tasks using inverse optimal control and iterative re-planning, learning from demonstration using mdp induced metrics, learning driving styles for autonomous vehicles from demonstration","source not found, lecture notes in computer science, source not found","jim mainprice, rafi hayne, dmitry berenson, francisco s. melo, manuel lopes, markus kuderer, shilpa gulati, wolfram burgard"
w4211060568,when ai meets store layout design: a review,artificial intelligence review,"kien nguyen, minh t.h. le, brett martin, i̇brahim çil, clinton fookes","w1950788856, w1966980081, w1967554269","hierarchical recurrent neural network for skeleton based action recognition, the inter-store mobility of supermarket shoppers, smpl","source not found, journal of retailing, acm transactions on graphics","y. du, wei wang, liang wang, hongjai rhee, david bell, matthew loper, naureen mahmood, javier romero, gerard pons‐moll, michael j. black"
w4212811301,persistent-homology-based machine learning: a survey and a comparative study,artificial intelligence review,"chi seng pun, si xian lee, kelin xia","w1481632020, w1496383623, w149834528","distributed computation of persistent homology, elements of algebraic topology, the persistence space in multidimensional persistent homology","society for industrial and applied mathematics ebooks, crc press ebooks, lecture notes in computer science","ulrich bauer, michael kerber, jan reininghaus, james r. munkres, andrea cerri, claudia landi"
w4212976523,employing a genetic algorithm and grey wolf optimizer for optimizing rf models to evaluate soil liquefaction potential,artificial intelligence review,"jian zhou, shuai huang, tao zhou, danial jahed armaghani, yingui qiu","w1490718145, w1497256448, w1911726212","simplified procedure for evaluating soil liquefaction potential, adaptation in natural and artificial systems, prediction of o-glycosylation sites using random forest and ga-tuned pso technique","journal of the soil mechanics and foundations division, source not found, bioinformatics and biology insights","h. bolton seed, izzat m. idriss, john h. holland, hebatallah a. hassan, amr badr, m. b. abdelhalim"
w4213347256,when ccn meets mcgdm: optimal cache replacement policy achieved by prsrv with pythagorean fuzzy set pair analysis,artificial intelligence review,"xindong peng, haihui huang, zhigang luo","w1829951598, w1859363816, w1978690967","extension of topsis to multiple criteria decision making with pythagorean fuzzy sets, lfu-k: an effective buffer management replacement algorithm, a survey of web cache replacement strategies","international journal of intelligent systems, lecture notes in computer science, acm computing surveys","xiaolu zhang, zeshui xu, leonid b. sokolinsky, stefan podlipnig, lászló böszörményi"
w4214551700,envgan: a gan-based augmentation to improve environmental sound classification,artificial intelligence review,"aswathy madhu, k. suresh","w1574396613, w1972567154, w1975163393","genre classification and the invariance of mfcc features to key and tempo, environmental sound classification with convolutional neural networks, mean opinion score (mos) revisited: methods and applications, limitations and alternatives","lecture notes in computer science, source not found, multimedia systems","tom l. h. li, antoni b. chan, karol j. piczak, robert c. streijl, stephan winkler, david hands"
w4214667230,optimal hybrid participation of customers in a smart micro-grid based on day-ahead electrical market,artificial intelligence review,heydar chamandoust,"w1991940402, w2008668719, w2026662237","the role of demand response in single and multi-objective wind-thermal generation scheduling: a stochastic programming, smart grid — the new and improved power grid: a survey, effective implementation of the ε-constraint method in multi-objective mathematical programming problems","energy, ieee communications surveys & tutorials, applied mathematics and computation","hananeh falsafi, alireza zakariazadeh, shahram jadid, xi fang, satyajayant misra, guoliang xue, dejun yang, george mavrotas"
w4214944148,combining filtered dictionary representation based deep subspace filter learning with a discriminative classification criterion for facial expression recognition,artificial intelligence review,"zhe sun, hehao zhang, suwei ma, zhengping hu","w1971737742, w1978493291, w1989243451","facial action recognition combining heterogeneous features via multikernel learning, accurate and robust facial expressions recognition by fusing multiple sparse representation based classifiers, collaborative neighbor representation based classification using -minimization approach","ieee transactions on systems man and cybernetics part b (cybernetics), neurocomputing, pattern recognition letters","thibaud sénéchal, valerie. rapp, hanan salam, renaud séguier, kévin bailly, lionel prévost, yan ouyang, nong sang, rui huang, waqas jadoon, yi zhang, lei zhang"
