work_id,keywords
W4223903624,"Phonocardiogram, Audio Event Detection, Signal Analysis, Environmental Sound Recognition, Diagnostic Aids, Dilation (metric space), Energy operator, Sobel operator"
W4224013576,"Scope (computer science), Interpretability, Deep Learning"
W4224035554,"Transfer of learning, Leverage (statistics), Aspect-based Sentiment Analysis, Emotion Recognition, Sequence-to-Sequence Learning, Multi-label Learning, Sentiment Analysis"
W4224037847,"Stratified sampling, Oversampling, Imbalanced Data, Ensemble Methods, Robust Learning, Meta-Learning, Multi-label Learning"
W4224082478,"MRI Segmentation, Image Segmentation, 3D ultrasound"
W4224213141,"Benchmark (surveying), Prediction interval, Model Selection, Point estimation, Data set"
W4224243673,"Ultra-Wideband, Open research"
W4224248396,Substation Inspection
W4224437581,"Diabetic Retinopathy, Automated Diagnosis, Retinal Disease, Fundus (uterus)"
W4225277427,"Discriminative model, Robustness (evolution), Texture (cosmology), Feature Learning, Facial Landmark Detection, Code (set theory)"
W4225294432,"Ant Colony Optimization, Benchmark (surveying), Multi-Depot Routing, Ant colony"
W4225821329,"Formal proof, Nonmonotonic Reasoning, Proof complexity, Constraint Logic Programming"
W4226062099,"Swarm intelligence, Self-Organizing Maps, Particle Swarm Optimization, Optimization Applications, Global Optimization, Nature-Inspired Algorithms"
W4226083961,"Video Object Segmentation, Market segmentation, Image Segmentation, Object Tracking, Object Recognition, Multiple Object Tracking"
W4226181943,"Super-Resolution, Optical Flow, Video post-processing"
W4226322152,Granular Computing
W4226424013,"Collaborative Filtering, User Modeling, Trust-Aware Recommender Systems, Relational Data Modeling, Content-Based Recommendation, Social network (sociolinguistics)"
W4226424035,"Interpretability, Visual Question Answering, Signal Processing on Graphs, Graph Neural Networks, Knowledge Graph Embedding, Graph Convolutional Networks"
W4226459955,"Fuzzy Sets, Fuzzy Rough Sets, Intuitionistic Fuzzy Sets, Defuzzification, Fuzzy mathematics"
W4229012814,"Comparability, CLARITY, Recruitment, Artificial Intelligences, HR Technology, Selection Procedures"
W4229442263,"Information overload, Strengths and weaknesses, Topic Modeling, Content-Based Recommendation, Representation Learning, Context-Aware Recommender Systems"
W4280491585,"Swarm intelligence, Particle Swarm Optimization, Multi-Objective Optimization, Optimization algorithm"
W4280508892,"Cartesian product, Soft set, Soft Set Theory, Lexicographical order, Intuitionistic Fuzzy Sets, Interval-Valued Fuzzy Sets, Statement (logic), Representation (politics)"
W4280525177,"Forecast Combination, Forecasting, Forecasting Models, Load Forecasting, Demand Forecasting, Data pre-processing"
W4280541407,"Association (psychology), Web Mining"
W4280582114,"Multilevel Converters, PWM Strategies, Voltage Source Inverters, Three-phase, Renewable Energy Integration, PV System, Grid-tie inverter"
W4280590401,"Three-Way Decisions, Sample (material), Decision Trees, Decision Analysis"
W4280649903,"Spam Detection, Review Spam, Botnet Detection, Phishing, Bot Detection"
W4281262808,"Differential Privacy, Data Privacy, Privacy Preservation, Privacy Concerns, Safeguarding, Traceability"
W4281286562,"Soft set, Soft Set Theory, Intuitionistic Fuzzy Sets, Decision-making, Soft computing"
W4281399117,"Named Entity Recognition, Information sharing"
W4281663336,"Robustness (evolution), Optimization, Adaptive Control, Benchmark (surveying), PID Controller, Controller Tuning, Nonlinear Control"
W4281703385,"Image Forgery Detection, Popularity, Digital Forensics, Image Authentication, Mistake, Camera Model Identification, Ethics of Courtroom Imagery"
W4281912025,"Frontier, Artificial Intelligences"
W4281930622,"Context-Aware Recommender Systems, Educational Data Mining, Online Learning, Content-Based Recommendation, Trust-Aware Recommender Systems"
W4281962665,"Bioimage Analysis, Medical Image Analysis"
W4283069536,"Sentiment analysis, Discriminative model, Benchmark (surveying), Emotion Recognition, Visual Attention, Wireless Sensor Networks, Salient Object Detection, Saliency Detection"
W4283157120,"Group Decision Making, Intuitionistic Fuzzy Sets, Multi-Objective Optimization, MCDM Methods, Intuitionistic Fuzzy"
W4283203948,"Nature-Inspired Algorithms, Particle Swarm Optimization"
W4283213885,"Robustness (evolution), Deep Learning, Action Recognition, Skeleton-Based Recognition, Cross-View Recognition"
W4283275666,"Recurrent Neural Networks, Temporal Convolutional Networks, Convolutional Networks, Feedforward Neural Networks, Pattern Classification"
W4283461979,"Firefly Algorithm, Parallel metaheuristic, Nature-Inspired Algorithms, Metaheuristics, Optimization Applications, Ant Colony Optimization, Optimization algorithm"
W4283578180,"Few-Shot Learning, Feature (linguistics), Representation Learning, Transfer Learning, Semi-Supervised Learning, Deep Learning, Hierarchical clustering"
W4283585133,"Neural Network Architectures, Brain-inspired Computing, Neuromorphic Computing, Deep Learning, Application-specific integrated circuit, SIMD"
W4283645714,"Cuckoo search, Benchmark (surveying), Robustness (evolution), Nature-Inspired Algorithms, Multi-Objective Optimization, Constraint Handling, Optimization Applications, Particle Swarm Optimization, Differential evolution"
W4283763275,"Resource Efficiency, Sentiment analysis, Purchasing process"
W4283764803,"Mainstream, Deep Learning, Stock Market Prediction, Stock (firearms)"
W4283803271,"IoT Security, Drone Applications, Internet of Things, Globe"
W4283814693,"Aspect-based Sentiment Analysis, Sentiment Analysis, Emotion Recognition"
W4283817886,"Defuzzification, Intuitionistic Fuzzy Sets, Fuzzy Sets, Random Fuzzy Variables, Group Decision Making, Fuzzy Differential Equations, Value (mathematics)"
W4285091076,"Context-Aware Recommender Systems, Trust-Aware Recommender Systems, Spoken Dialogue Systems, Content-Based Recommendation, Collaborative Filtering"
W4285676605,"Concept Drift, Change Detection, Data Streams, Positive and Unlabeled Data, Labeled data, Multi-label classification"
W4285796263,"Monte Carlo Tree Search, Tree (set theory), Behavior Trees, Real-Time Strategy Games, Branching (polymer chemistry)"
W4285796576,"Multi-Objective Optimization, Industrial Applications"
W4286795081,"Pruning, Robust Learning"
W4286906772,"Deep Learning, Neural Network Architectures"
W4287307793,"Benchmark (surveying), Optimization Applications, Constraint Handling, Multi-Objective Optimization, Load Forecasting, Global Optimization, Levenberg–Marquardt algorithm"
W4287577628,"Multi-Objective Optimization, Optimization, Constraint Handling, Optimization Applications, Dominance (genetics), Metaheuristics, Heuristics"
W4287992808,"Relocation, Dynamic Ride-Sharing, Component (thermodynamics), Ridesharing, Carsharing Systems, Mobility as a Service, Public Transit Integration"
W4288690437,"Three-Way Decisions, Fuzzy Rough Sets, Information Granulation, Probabilistic Rough Sets, Granular Computing"
W4289638136,"Feature Selection, Feature (linguistics), Decision Analysis, GIS-based Decision Analysis, Probabilistic Rough Sets"
W4289860834,"Sample (material), Feature Learning, Face Recognition, Facial Expression Analysis, Facial Landmark Detection, Face Spoof Detection"
W4289868942,"Subtyping, Personalized medicine, Hierarchical clustering, Disease Risk Prediction"
W4290992098,"Student Performance Prediction, Performance prediction, Data-driven Education, Online Learning, Educational Data Mining, Learning Analytics"
W4291993480,"MRI Segmentation, MRI, Medical Image Analysis, Medical Imaging, Image Segmentation, Market segmentation, Modalities, Modality (human–computer interaction)"
W4292059111,"Robustness (evolution), Friedman test, Benchmark (surveying), Rank (graph theory), Ant Colony Optimization, Local optimum, Optimization algorithm"
W4292197747,"Prognostics, Transfer of learning, Fault Diagnosis"
W4292289323,"EDAS, Intuitionistic Fuzzy Sets, Fuzzy Sets, Group Decision Making, Intuitionistic Fuzzy, Fuzzy Goal Programming"
W4292289324,"Human-in-the-loop, Active Learning, Robust Learning, Meta-Learning, Responsibility in AI, Instance-based learning, Aside, Inductive transfer"
W4292372012,"Student Performance Prediction, Predictive Analysis, Learning Analytics, Educational Data Mining, Component (thermodynamics), Predictive analytics, Decision-making"
W4293213129,"Scheduling, Dynamic Scheduling, Hybrid Optimization, Heuristic Algorithms, Metaheuristic Algorithms, Hyper-heuristic, Parallel metaheuristic"
W4293248357,"MCDM Methods, Group Decision Making, Operator (biology), Analytic Hierarchy Process, Realization (probability)"
W4293288724,Group Decision Making
W4293295050,"Pattern Discovery, Feature Extraction, Pattern Recognition, Multivariate Classification, System Identification, Feature (linguistics)"
W4293317991,"Autoencoder, Anomaly Detection, Outlier Detection, Video Analysis, Visual Tracking, Intrusion Detection"
W4293795081,"Fundus (uterus), Image Analysis, Diabetic Retinopathy, Fraud Detection, Deep Learning, Active contour model"
W4294566414,"Workspace, Robot Navigation, Human-Robot Collaboration"
W4294653840,"Blueprint, Generality, Decision Support, Clinical Decision Support, Cognitive robotics, Artificial general intelligence"
W4294740730,"Machine Learning Interpretability, Interpretable Models, Model Interpretability, Responsibility in AI, Artificial Intelligences"
W4294817101,"Arrhythmia Detection, Cardiac Health Diagnosis, Epilepsy Detection, ECG Signal, EEG Analysis, Daubechies wavelet"
W4294930473,"Compressed Sensing, Implementation, Dictionary Learning, Sparse Approximation"
W4295008492,"Prognostics, Guideline, Strengths and weaknesses, Predictive Maintenance"
W4295120388,"Rubric, Simulation to Real-world Transfer, Embodied agent, Cognitive robotics"
W4295457756,"Similarity (geometry), Intuitionistic Fuzzy Sets, Fuzzy Sets, Group Decision Making, Similarity measure"
W4295926801,"Portfolio Optimization, Black–Litterman model, Optimization, Robust Optimization"
W4296020838,"Initialization, Fuzzy Clustering, Centroid, Intuitionistic Fuzzy Sets, Density-based Clustering, Fuzzy Sets, Stream Data Clustering"
W4296045111,"Federated Learning, Blockchain, Upload, Searchable Encryption"
W4296077725,"Benchmark (surveying), Differential evolution, Premature convergence, Similarity (geometry), Particle Swarm Optimization"
W4296139711,"Closed captioning, Image Captioning, Image Annotation"
W4296186746,"Initialization, Three-Way Decisions, Decision Analysis, Transfer of learning, Similarity (geometry)"
W4296297582,"Granularity, Matrix (chemical analysis), Granular Computing, Information Granulation, Granulation"
W4296461299,"Feature (linguistics), Feature Selection"
W4296636191,"Microgrid, Microgrid Control, Load Forecasting, Grid Synchronization, Renewable Energy Integration, Smart Grid Applications"
W4296929390,"Plant Disease Detection, Identification (biology), Plant identification, Vegetation Classification"
W4296935237,"MNIST database, Autoencoder, Feature (linguistics), Ensemble Learning, Representation Learning, Image Segmentation, Meta-Learning, Transfer Learning, Feature learning"
W4297051238,"Aspect-based Sentiment Analysis, Emotion Recognition, Web Data Extraction, Sentiment Analysis, Page Segmentation"
W4297092710,"Constraint Handling, Performance Optimization, Pruning, Optimization Applications, Learning Automata, Buffer Management, Alpha (finance)"
W4297227993,"Swarm intelligence, Control reconfiguration, Swarm Robotics"
W4297491563,"Swarm intelligence, Particle Swarm Optimization, Nature-Inspired Algorithms, Optimization, Optimization algorithm"
W4297548914,In Vivo Imaging
W4297826536,"Interpolation (computer graphics), Hedge, Hybrid Modeling, Control Systems, Control variable, State variable, Base (topology)"
W4297903184,"Profit maximization, Demand Forecasting, Inventory Management, Dynamic Scheduling, Warehouse Design, Order Picking, Differential evolution, Environmentally friendly"
W4298000417,"Scope (computer science), Extraction, Web Data Extraction, Linguistic Knowledge, Information Retrieval, Relationship extraction"
W4298124436,"Competitor analysis, Supply Network Complexity, Dual-Channel Supply Chains, Supply Chain Resilience, Cornerstone"
W4300717046,"Constraint Optimization, Distributed Algorithms, Optimization, Soft Constraints"
W4302288256,"Robustness (evolution), Quadratic Programming, Constraint Handling, Semidefinite Programming, Nonlinear Programming, Fractional Order Control"
W4302775088,"Incremental learning, Representation Learning, Unsupervised Learning, Transfer Learning, Semi-Supervised Learning, Meta-Learning"
W4303415883,"Fuzzy Sets, Intuitionistic Fuzzy Sets, Fuzzy Rough Sets, Benchmark (surveying), Setback, Vagueness"
W4303579230,"Visual Tracking, Video Analysis, Action Recognition, Motion Detection"
W4303710087,"Troubleshooting, Vibration Analysis, Condition Monitoring, Rotating Machinery, Predictive Maintenance, Process Monitoring"
W4303984810,"Rotating Machinery, Predictive Maintenance, Fault Diagnosis"
W4304098281,"Interpretability, Robustness (evolution), Robust Learning"
W4304175779,"Point set registration, Deformable Image Registration, Image registration, Interest Point Detectors, Object Recognition, Data set"
W4304187656,"Nature-Inspired Algorithms, Sine, Constraint Handling, Optimization Applications"
W4304698333,"Representation Learning, Feature engineering, Topic Modeling, Relational Data Modeling, Deep Learning, Word Representation, Feature learning, Representation (politics)"
W4306292106,"Building automation, Building Performance, Air Quality Monitoring, Building Energy Consumption, Data analysis, Building management system"
W4306786778,"Reinforcement Learning, Multi-Agent Systems"
W4307129239,"Multi-label Learning, Multi-label classification, Benchmark (surveying), Non-negative Matrix Factorization, Independence (probability theory)"
W4307243336,"Benchmark (surveying), Neural Network Architectures, Computer Vision, Deep Learning, Regression, Convolutional Neural Networks, Contextual image classification"
W4307321238,"Topic Modeling, Text Mining, Textual Data"
W4307572272,"XAI Concepts, Machine Learning Interpretability, Visual Explanations, Responsibility in AI, Interpretable Models"
W4307819182,"Deblurring, Benchmark (surveying), Image Denoising, Depth Estimation, Video Enhancement"
W4307910037,"Correlation attack, Color Image Encryption, S-box, Benchmark (surveying)"
W4307911024,"Kernel (algebra), Independent Component Analysis, Approximate Matching, Sparse PCA"
W4307913127,"Stock Market Prediction, Short-Term Forecasting, Load Forecasting, Electricity Price Forecasting, Forecast Combination, Stock (firearms)"
W4308112317,"Parallel metaheuristic, Metaheuristics, Nature-Inspired Algorithms, Optimization Applications, Quantum Computation, Quantum Machine Learning, Search-based software engineering, Feature (linguistics)"
W4308112567,"Ensemble Learning, Ensemble forecasting, Deep belief network, Deep neural networks"
W4308160155,"Depression Detection, Suicidal Ideation, Suicidal Behavior, Suicide, Psychological Autopsy, Depression (economics)"
W4308381112,"Benchmark (surveying), Trading strategy, Change Detection, Global Optimization, Technical analysis, Adaptive Algorithms"
W4308607522,"Conflict analysis, Group Decision Making, Quantitative analysis (chemistry), Qualitative property"
W4308750008,"Precision agriculture, Smart Farming, Crop Yield Prediction"
W4308840623,"Intelligibility (philosophy), Mean opinion score, Speech Enhancement, Audio-Visual Speech Recognition, Acoustic Modeling, End-to-End Speech Recognition, Automatic Speech Recognition"
W4308840632,"Three-Way Decisions, Decision Analysis, Group Decision Making, Complement (music)"
W4308861918,"Chunking (psychology), Part-of-Speech Tagging, Syntax-based Translation Models, Normalization (sociology), Neural Machine Translation, Lemmatisation, Sentence processing"
W4309198707,"Power Transmission Lines, Detection, Fault Detection, Extreme learning machine, Machine Learning"
W4309349667,"Image Denoising, Benchmark (surveying), Deep neural networks"
W4309490745,"Drug Target Identification, Benchmark (surveying), Drug repositioning"
W4309582920,"Home automation, Voice command device, Spoken Dialogue Systems, User Simulation, Speaker Verification, Audio-Visual Speech Recognition"
W4309643846,"Discriminative model, Biometrics, Multimodal Biometrics, Robustness (evolution), Facial Landmark Detection, Feature Learning"
W4309648563,"Benchmark (surveying), Search-based software engineering, Optimization Applications, Metaheuristic Algorithms, Metaheuristics, Sigmoid function, Parallel metaheuristic, Binary code, Implementation"
W4309782696,"Three-Way Decisions, Intuitionistic Fuzzy Sets, Decision Analysis, Interval-Valued Functions, Group Decision Making"
W4309796907,"Signal Processing on Graphs, Graph Neural Networks, Knowledge Graph Embedding, Representation Learning, Deep Learning"
W4309796916,"Replication (statistics), Fog Computing, Differential evolution, Swarm intelligence"
W4309822222,"Localization, Indoor Localization, SLAM, 3D Mapping"
W4309867695,"Adaptability, Causal chain, Resilience (materials science), Group Decision Making, Identification (biology), Causal analysis, Causal model, Rank (graph theory)"
W4309889602,"Logistic map, Nature-Inspired Algorithms, Particle Swarm Optimization, Optimization Applications, Benchmark (surveying)"
W4309913730,"Non-Line-of-Sight Imaging, Sensor fusion, Feature (linguistics)"
W4309925307,"Causality (physics), Semantic Genetic Programming, Symbolic Regression, Causal model"
W4309928656,"Representation (politics), Stochastic Petri Nets, Petri Nets, Chen, Network analysis, Citation analysis"
W4309937154,"Three-Way Decisions, Decision rule, Decision Analysis, Dominance (genetics), Decision Trees, Group Decision Making, GIS-based Decision Analysis, Decision theory, Decision system, Decision model"
W4310193546,"Group Decision Making, GIS-based Decision Analysis, Probabilistic Learning, MCDM Methods, Structure Learning, Dynamism"
W4310193697,"Three-Way Decisions, Group Decision Making, Decision Analysis, GIS-based Decision Analysis, MCDM Methods, Scope (computer science), Value (mathematics)"
W4310193754,"Vehicle Routing Problem, Green Logistics, Economic shortage, Firefly Algorithm, Environmental pollution"
W4310195170,"Feature Selection, Symbolic Regression, Multi-Objective Optimization, Bayesian Optimization, Constraint Handling"
W4310225030,"Clustering, Stream Data Clustering, Document Clustering, Clustering Algorithms, Density-based Clustering, Clustering high-dimensional data, Consensus clustering, Conceptual clustering, Data stream clustering"
W4310276548,"Fuzzy Sets, Intuitionistic Fuzzy Sets, Fuzzy Rough Sets, Vagueness"
W4310787317,"Multiple Object Tracking, Visual Tracking, Deep Learning"
W4311031268,Smart Learning
W4311035550,High-Dimensional Data
W4311035665,"Shearing (physics), Bitumen Modification, Polymer Modification"
W4311165753,"Probabilistic Rough Sets, Rough Sets, Structural Analysis, Shape Optimization, Representation (politics)"
W4311183537,"Compendium, Popularity, Word Representation"
W4311273559,"Downtime, Machine Learning Interpretability, XAI Concepts, Interpretable Models, Model Interpretability, Visual Explanations, Predictive modelling, Black box, Tree (set theory), Strengths and weaknesses"
W4311305999,"Group decision-making, Consensus Formation, Cohesion (chemistry), Power index"
W4311362391,"System Reliability, Set cover problem"
W4311375214,"Hybrid Algorithms, Nature-Inspired Algorithms, Optimization Applications, Global Optimization, Multi-Objective Optimization, Premature convergence, Benchmark (surveying), Parallel metaheuristic"
W4311464455,"Ideal solution, Intuitionistic Fuzzy Sets, Similarity (geometry), Intuitionistic Fuzzy, Fuzzy Sets, Distance measures, Fuzzy Goal Programming, TOPSIS, Minkowski distance, Similarity measure"
W4311464757,"Coreference, Treebank, Neural Machine Translation, Machine Translation, Multilingual Neural Machine Translation, Language Modeling, Anaphora (linguistics), Subject pronoun"
W4311599520,"Human-Robot Collaboration, Safe Human-Robot Interaction, Robot Learning"
W4311607213,"Pace, Federated Learning"
W4311625992,"Web Data Extraction, Information Retrieval, Dependency Parsing, Web Crawling, Formal grammar"
W4311629995,"Physical law, Materials Informatics, Physical system, Black box"
W4311710860,"Grey literature, White (mutation), Text Detection, Mathematical Information Retrieval, Handwriting Recognition, Text Indexing, Grey level, Approximate Matching"
W4311954044,"Stock Market Prediction, Stock (firearms), Short-Term Forecasting, Load Forecasting, Electricity Price Forecasting, Deep Learning"
W4312059150,"Cellular Imaging, Image Processing, Phenotypic Profiling, Spatial Profiling, Bioimage Analysis, Sample (material)"
W4312105932,"Intuitionistic Fuzzy Sets, Social connectedness, Bounding overwatch"
W4312106224,"Silica fume, Cementitious, Sustainable Concrete, Fiber Reinforced Concrete, Self-Compacting Concrete, Structural Reliability"
W4312106240,"Transfer of learning, Plant Disease Detection, Crop Yield Prediction, Smart Farming, Convolution (computer science), Identification (biology)"
W4312106306,"Fuzzy cognitive map, Interpretability, Fuzzy Cognitive Maps, Intuitionistic Fuzzy Sets, Fuzzy Sets, Cognitive Computing, Soft computing"
W4312106615,"Heterogeneous Networks, Network Embedding, Representation Learning, Signal Processing on Graphs, Knowledge Graph Embedding, Graph embedding, Feature learning, Power graph analysis"
W4312106726,"Digital pathology, Cancer Imaging, Medical Image Analysis, Histopathology Images, Medical Imaging, White Blood Cell Segmentation, Narrative review"
W4312106785,"Software Defect Prediction, Software Reliability Modeling, Fault Detection and Correction, Software Maintenance, Multilayer perceptron"
W4312208348,"Nature-Inspired Algorithms, Benchmark (surveying)"
W4312208408,"Interpretability, Maximum satisfiability problem, Machine Learning Interpretability, Interpretable Models, Model Interpretability, Robust Learning, Satisfiability"
W4312214845,"Interpretability, Fuzzy Logic Systems, Fuzzy Rule-Based Systems, Neuro-Fuzzy Methods, Genetic Fuzzy Systems, Interval Type-2 Fuzzy Logic, Fuzzy cognitive map"
W4312214853,"Hyperparameter, Discriminative model, Image Segmentation, Semantic Segmentation, Object Detection, Brain Tumors"
W4312222425,"Continuous Blood Pressure Estimation, Hemodynamic Monitoring, Blood Pressure"
W4312222562,"Robustness (evolution), Dimensionality Reduction, Support Vector Machines, Random Hidden Nodes, Ensemble Learning"
W4312222690,"Hierarchical clustering, Single-linkage clustering, Brown clustering, Consensus clustering, Stream Data Clustering, Document Clustering, Clustering Algorithms, Semi-supervised Clustering, Density-based Clustering, Similarity measure, Complete-linkage clustering, Dendrogram, Similarity (geometry)"
W4313276113,"Load testing, Bridge (graph theory), Bridge Inspection, Structural Damage Detection, Dynamic load testing"
W4313321559,"Benchmark (surveying), Optimization algorithm, Multi-Objective Optimization, Global Optimization, Ant Colony Optimization, Nature-Inspired Algorithms, Optimization Applications"
W4313321714,"Proteins, Support Vector Machines"
