work_id,topic,subfield,field,domain
W3183903096,Deep Learning in Computer Vision and Image Recognition,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W3183903096,Image Enhancement Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W3183903096,Single Image Super-Resolution Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W3191514888,Comminution in Mineral Processing,Mechanical Engineering,Engineering,Physical Sciences
W3191514888,Advanced Techniques in Bioimage Analysis and Microscopy,Biophysics,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W3191514888,Autofocusing in Microscopy and Photography,Media Technology,Engineering,Physical Sciences
W3200113267,Characterization and Detection of Android Malware,Signal Processing,Computer Science,Physical Sciences
W3200113267,Anomaly Detection in High-Dimensional Data,Artificial Intelligence,Computer Science,Physical Sciences
W3200113267,Adversarial Robustness in Deep Learning Models,Artificial Intelligence,Computer Science,Physical Sciences
W3201412947,Learning and Inference in Bayesian Networks,Artificial Intelligence,Computer Science,Physical Sciences
W3201412947,Data Quality Assessment and Improvement,Management Science and Operations Research,Decision Sciences,Social Sciences
W3201412947,Data Mining Techniques and Applications,Information Systems,Computer Science,Physical Sciences
W3216755252,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W3216755252,Learning with Noisy Labels in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W3216755252,Multiobjective Optimization in Evolutionary Algorithms,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4205250680,Multi-label Text Classification in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4205250680,Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4205250680,Statistical Machine Translation and Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4205334324,Blockchain and Internet of Things Integration,Information Systems,Computer Science,Physical Sciences
W4205334324,Automated Currency Recognition and Authentication,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4205334324,Coordination and Information Sharing in Supply Chains,Management Information Systems,"Business, Management and Accounting",Social Sciences
W4205378885,Log Analysis and System Performance Diagnosis,Computer Networks and Communications,Computer Science,Physical Sciences
W4205378885,Agile Software Development in Software Engineering,Information Systems,Computer Science,Physical Sciences
W4205378885,Empirical Studies in Software Engineering,Information Systems,Computer Science,Physical Sciences
W4205440051,Rough Sets Theory and Applications,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4205440051,Fuzzy Differential Equations and Uncertainty Modeling,Statistics and Probability,Mathematics,Physical Sciences
W4205440051,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4205632368,Rough Sets Theory and Applications,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4205632368,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4205632368,Fuzzy Logic and Residuated Lattices,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4205655330,Rough Sets Theory and Applications,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4205655330,Application of Soft Set Theory in Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4205655330,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4205812147,Graph Spectra and Topological Indices,Geometry and Topology,Mathematics,Physical Sciences
W4205812147,Statistical Mechanics of Complex Networks,Statistical and Nonlinear Physics,Physics and Astronomy,Physical Sciences
W4205812147,Graph Labeling and Dimension Problems,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4205939747,Adaptive Dynamic Programming for Optimal Control,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4205939747,Load Frequency Control in Power Systems,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4205939747,Reinforcement Learning Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4206016550,Deep Learning in Computer Vision and Image Recognition,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4206016550,Memristive Devices for Neuromorphic Computing,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4206016550,Internet of Things and Edge Computing,Computer Networks and Communications,Computer Science,Physical Sciences
W4206041150,Modeling and Control of Traffic Flow Systems,Control and Systems Engineering,Engineering,Physical Sciences
W4206041150,Advanced Vehicle Dynamics Control Systems,Automotive Engineering,Engineering,Physical Sciences
W4206041150,State of the Art in Electric and Hybrid Vehicles,Automotive Engineering,Engineering,Physical Sciences
W4206075111,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4206075111,Set Pair Analysis for Ecosystem Assessment,Ecology,Environmental Science,Physical Sciences
W4206075111,Rough Sets Theory and Applications,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4206094475,Automatic Video Summarization and Analysis,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4206094475,Human Action Recognition and Pose Estimation,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4206094475,Visual Question Answering in Images and Videos,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4206195463,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4206195463,Data Mining Techniques and Applications,Information Systems,Computer Science,Physical Sciences
W4206195463,Rough Sets Theory and Applications,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4206417793,Brain-Computer Interfaces in Neuroscience and Medicine,Cognitive Neuroscience,Neuroscience,Life Sciences
W4206417793,Computational Modeling of Visual Saliency Detection,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4206417793,Detection and Management of Retinal Diseases,"Radiology, Nuclear Medicine and Imaging",Medicine,Health Sciences
W4206515154,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4206515154,Optimization of Staff Scheduling and Rostering,Management Science and Operations Research,Decision Sciences,Social Sciences
W4206515154,Distributed Coordination in Online Robotics Research,Computer Networks and Communications,Computer Science,Physical Sciences
W4206588195,Design and Simulation of Quantum-dot Cellular Automata,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4206588195,Analog Circuit Design for Biomedical Applications,Biomedical Engineering,Engineering,Physical Sciences
W4206588195,Low-Power VLSI Circuit Design and Optimization,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4206681343,Sentiment Analysis and Opinion Mining,Artificial Intelligence,Computer Science,Physical Sciences
W4206681343,Impact of Social Media on Consumer Behavior,Sociology and Political Science,Social Sciences,Social Sciences
W4206681343,Automatic Keyword Extraction from Textual Data,Artificial Intelligence,Computer Science,Physical Sciences
W4206722902,Traffic Flow Prediction and Forecasting,Building and Construction,Engineering,Physical Sciences
W4206722902,Modeling and Control of Traffic Flow Systems,Control and Systems Engineering,Engineering,Physical Sciences
W4206722902,Understanding Attitudes Towards Public Transport and Private Car,Transportation,Social Sciences,Social Sciences
W4206740177,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4206740177,Multiobjective Optimization in Evolutionary Algorithms,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4206740177,Underwater Acoustic Sensor Networks and Communication,Ocean Engineering,Engineering,Physical Sciences
W4206780588,Anomaly Detection in High-Dimensional Data,Artificial Intelligence,Computer Science,Physical Sciences
W4206780588,Internet of Things and Edge Computing,Computer Networks and Communications,Computer Science,Physical Sciences
W4206780588,Activity Recognition in Pervasive Computing Environments,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4206983514,Machine Learning in Healthcare and Medicine,Health Information Management,Health Professions,Health Sciences
W4206983514,Anomaly Detection in High-Dimensional Data,Artificial Intelligence,Computer Science,Physical Sciences
W4206983514,Applications of Deep Learning in Medical Imaging,"Radiology, Nuclear Medicine and Imaging",Medicine,Health Sciences
W4210410512,Anomaly Detection in High-Dimensional Data,Artificial Intelligence,Computer Science,Physical Sciences
W4210410512,Applications of Deep Learning in Medical Imaging,"Radiology, Nuclear Medicine and Imaging",Medicine,Health Sciences
W4210410512,Deep Learning in Medical Image Analysis,Artificial Intelligence,Computer Science,Physical Sciences
W4210542188,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4210631880,Machine Learning in Healthcare and Medicine,Health Information Management,Health Professions,Health Sciences
W4210631880,Deep Learning in Medical Image Analysis,Artificial Intelligence,Computer Science,Physical Sciences
W4210631880,Handling Imbalanced Data in Classification Problems,Artificial Intelligence,Computer Science,Physical Sciences
W4210763735,Characterization and Detection of Android Malware,Signal Processing,Computer Science,Physical Sciences
W4210763735,Network Intrusion Detection and Defense Mechanisms,Computer Networks and Communications,Computer Science,Physical Sciences
W4210763735,Machine Learning for Internet Traffic Classification,Artificial Intelligence,Computer Science,Physical Sciences
W4210780574,Adversarial Robustness in Deep Learning Models,Artificial Intelligence,Computer Science,Physical Sciences
W4210780574,Privacy-Preserving Techniques for Data Analysis and Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4210780574,Digital Image Watermarking Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4210827551,Automatic Keyword Extraction from Textual Data,Artificial Intelligence,Computer Science,Physical Sciences
W4210827551,Sentiment Analysis and Opinion Mining,Artificial Intelligence,Computer Science,Physical Sciences
W4210827551,Detection and Prevention of Phishing Attacks,Information Systems,Computer Science,Physical Sciences
W4210909794,Reinforcement Learning Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4210909794,Robotic Grasping and Learning from Demonstration,Control and Systems Engineering,Engineering,Physical Sciences
W4210909794,Application of Genetic Programming in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4211060568,Visual Object Tracking and Person Re-identification,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4211060568,Face Recognition and Analysis Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4211060568,Understanding Consumer Behavior in Retail Environments,Marketing,"Business, Management and Accounting",Social Sciences
W4212811301,Analysis of Gene Interaction Networks,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W4212811301,Deformation Quantization of Poisson Manifolds,Mathematical Physics,Mathematics,Physical Sciences
W4212811301,Topological Data Analysis in Science and Engineering,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4212976523,Seismic Design and Analysis of Underground Structures,Civil and Structural Engineering,Engineering,Physical Sciences
W4212976523,Soil Mechanics in Geotechnical Engineering Practice,Civil and Structural Engineering,Engineering,Physical Sciences
W4212976523,Factors of Safety and Reliability in Geotechnical Engineering,"Safety, Risk, Reliability and Quality",Engineering,Physical Sciences
W4213347256,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4214551700,Interactive Evolutionary Music Systems and Instruments,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4214551700,Audio Signal Classification and Analysis,Signal Processing,Computer Science,Physical Sciences
W4214551700,Speech Enhancement Techniques,Signal Processing,Computer Science,Physical Sciences
W4214667230,Integration of Electric Vehicles in Power Systems,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4214667230,Demand Response in Smart Grids,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4214667230,Control and Synchronization in Microgrid Systems,Control and Systems Engineering,Engineering,Physical Sciences
W4214944148,Dynamics of Urban Structure through Spatial Network Analysis,Urban Studies,Social Sciences,Social Sciences
W4214944148,Face Recognition and Dimensionality Reduction Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4214944148,Emotion Recognition and Analysis in Multimodal Data,Experimental and Cognitive Psychology,Psychology,Social Sciences
W4220667522,Control and Synchronization in Microgrid Systems,Control and Systems Engineering,Engineering,Physical Sciences
W4220667522,Electricity Price and Load Forecasting Methods,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4220667522,Demand Response in Smart Grids,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4220698980,Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4220698980,Semantic Web and Ontology Development,Artificial Intelligence,Computer Science,Physical Sciences
W4220698980,Visual Question Answering in Images and Videos,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4220717373,Electricity Theft Detection in Smart Grids,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4220717373,Handling Imbalanced Data in Classification Problems,Artificial Intelligence,Computer Science,Physical Sciences
W4220717373,Bankruptcy Prediction and Credit Scoring Models,Accounting,"Business, Management and Accounting",Social Sciences
W4220736817,Statistical Machine Translation and Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4220736817,Visual Question Answering in Images and Videos,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4220736817,Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4220756552,Infrared Small Target Detection and Tracking,Aerospace Engineering,Engineering,Physical Sciences
W4220756552,Image Enhancement Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4220756552,Hyperspectral Image Analysis and Classification,Media Technology,Engineering,Physical Sciences
W4220813863,Fabric Defect Detection in Industrial Applications,Industrial and Manufacturing Engineering,Engineering,Physical Sciences
W4220813863,Science of Clothing Comfort and Textile Properties,Polymers and Plastics,Materials Science,Physical Sciences
W4220813863,Autofocusing in Microscopy and Photography,Media Technology,Engineering,Physical Sciences
W4220842692,Learning and Inference in Bayesian Networks,Artificial Intelligence,Computer Science,Physical Sciences
W4220842692,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4220842692,Rough Sets Theory and Applications,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4220864385,Application of Genetic Programming in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4220864385,Learning with Noisy Labels in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4220864385,Microarray Data Analysis and Gene Expression Profiling,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences
W4220891597,Automatic Keyword Extraction from Textual Data,Artificial Intelligence,Computer Science,Physical Sciences
W4220891597,Multi-label Text Classification in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4220891597,Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4220912476,Workflow Mining and Business Process Management,Management Information Systems,"Business, Management and Accounting",Social Sciences
W4220912476,Modeling and Control of Petri Nets in Systems,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4220912476,Modeling and Control of Multidimensional Systems,Control and Systems Engineering,Engineering,Physical Sciences
W4220922919,3D Geospatial Modelling Techniques,Geology,Earth and Planetary Sciences,Physical Sciences
W4220922919,Analysis of Three-Dimensional Shape Structures,Computational Mechanics,Engineering,Physical Sciences
W4220922919,Simultaneous Localization and Mapping,Aerospace Engineering,Engineering,Physical Sciences
W4220969749,Vehicle Routing Problem and Variants,Industrial and Manufacturing Engineering,Engineering,Physical Sciences
W4220969749,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4220969749,Multi-Objective Transportation Problem Optimization,Control and Systems Engineering,Engineering,Physical Sciences
W4220986642,Machine Learning in Healthcare and Medicine,Health Information Management,Health Professions,Health Sciences
W4221010276,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4221010276,Health Effects of Air Pollution,"Health, Toxicology and Mutagenesis",Environmental Science,Physical Sciences
W4221010276,Low-Cost Air Quality Monitoring Systems,Environmental Engineering,Environmental Science,Physical Sciences
W4221032146,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4221032146,Sampling-Based Motion Planning Algorithms,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4221032146,Multiobjective Optimization in Evolutionary Algorithms,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4221122242,Privacy-Preserving Techniques for Data Analysis and Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4221122242,Deep Learning in Computer Vision and Image Recognition,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4221122242,Internet of Things and Edge Computing,Computer Networks and Communications,Computer Science,Physical Sciences
W4223453456,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4223453456,Multiobjective Optimization in Evolutionary Algorithms,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4223453456,Multi-Objective Transportation Problem Optimization,Control and Systems Engineering,Engineering,Physical Sciences
W4223903624,Ecomusicology and Ethnomusicological Research on Environmental and Cultural Sustainability,Music,Arts and Humanities,Social Sciences
W4223903624,Analysis of Cardiac and Respiratory Sounds,Pulmonary and Respiratory Medicine,Medicine,Health Sciences
W4223903624,Audio Signal Classification and Analysis,Signal Processing,Computer Science,Physical Sciences
W4224013576,Theory and Applications of Extreme Learning Machines,Artificial Intelligence,Computer Science,Physical Sciences
W4224013576,Automated Currency Recognition and Authentication,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4224013576,Brain-Computer Interfaces in Neuroscience and Medicine,Cognitive Neuroscience,Neuroscience,Life Sciences
W4224035554,Multi-label Text Classification in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4224035554,Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4224035554,Sentiment Analysis and Opinion Mining,Artificial Intelligence,Computer Science,Physical Sciences
W4224037847,Multi-label Text Classification in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4224037847,Handling Imbalanced Data in Classification Problems,Artificial Intelligence,Computer Science,Physical Sciences
W4224037847,Learning with Noisy Labels in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4224082478,Prostate Cancer Research and Treatment,Pulmonary and Respiratory Medicine,Medicine,Health Sciences
W4224082478,Image Segmentation Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4224082478,Deep Learning in Computer Vision and Image Recognition,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4224213141,Gaussian Processes in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4224213141,Detection and Handling of Multicollinearity in Regression Analysis,Statistics and Probability,Mathematics,Physical Sciences
W4224213141,Learning with Noisy Labels in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences
W4224243673,Microwave Engineering and Waveguides,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4224243673,Antenna Design and Applications,Aerospace Engineering,Engineering,Physical Sciences
W4224243673,Optimization Techniques for Antenna Arrays,Aerospace Engineering,Engineering,Physical Sciences
W4224248396,Deep Learning in Computer Vision and Image Recognition,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4224248396,Simultaneous Localization and Mapping,Aerospace Engineering,Engineering,Physical Sciences
W4224248396,Robotic Inspection of Power Transmission Lines,Mechanical Engineering,Engineering,Physical Sciences
W4224437581,Automated Analysis of Blood Cell Images,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4224437581,Detection and Management of Retinal Diseases,"Radiology, Nuclear Medicine and Imaging",Medicine,Health Sciences
W4224437581,Age-Related Macular Degeneration Research,Ophthalmology,Medicine,Health Sciences
W4225277427,Face Recognition and Analysis Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4225277427,Digital Image Watermarking Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4225277427,Biometric Recognition and Security Systems,Signal Processing,Computer Science,Physical Sciences
W4225294432,Vehicle Routing Problem and Variants,Industrial and Manufacturing Engineering,Engineering,Physical Sciences
W4225294432,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4225294432,Optimization of Container Terminal Operations and Logistics,Industrial and Manufacturing Engineering,Engineering,Physical Sciences
W4225821329,Semantic Web and Ontology Development,Artificial Intelligence,Computer Science,Physical Sciences
W4225821329,Artificial Intelligence Planning and Reasoning,Artificial Intelligence,Computer Science,Physical Sciences
W4225821329,Logic Programming and Knowledge Representation,Artificial Intelligence,Computer Science,Physical Sciences
W4226062099,Swarm Intelligence Optimization Algorithms,Artificial Intelligence,Computer Science,Physical Sciences
W4226062099,Neural Network Fundamentals and Applications,Artificial Intelligence,Computer Science,Physical Sciences
W4226062099,Control Systems and Network Applications,Control and Systems Engineering,Engineering,Physical Sciences
W4226083961,Visual Object Tracking and Person Re-identification,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4226083961,Image Feature Retrieval and Recognition Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4226083961,Computational Modeling of Visual Saliency Detection,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4226181943,Stereo Vision and Depth Estimation,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4226181943,Single Image Super-Resolution Techniques,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4226181943,Image Denoising Techniques and Algorithms,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4226322152,Graph Neural Network Models and Applications,Artificial Intelligence,Computer Science,Physical Sciences
W4226322152,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4226322152,Rough Sets Theory and Applications,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4226424013,Recommender System Technologies,Information Systems,Computer Science,Physical Sciences
W4226424013,Graph Neural Network Models and Applications,Artificial Intelligence,Computer Science,Physical Sciences
W4226424013,Content-Centric Networking for Information Delivery,Computer Networks and Communications,Computer Science,Physical Sciences
W4226424035,Visual Question Answering in Images and Videos,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences
W4226424035,Graph Neural Network Models and Applications,Artificial Intelligence,Computer Science,Physical Sciences
W4226424035,Advances in Transfer Learning and Domain Adaptation,Artificial Intelligence,Computer Science,Physical Sciences
W4226459955,Rough Sets Theory and Applications,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4226459955,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4229012814,Employer Branding and Recruitment Practices,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences
W4229012814,Human Resource Analytics and Big Data,Organizational Behavior and Human Resource Management,"Business, Management and Accounting",Social Sciences
W4229012814,Ethical Implications of Artificial Intelligence,Safety Research,Social Sciences,Social Sciences
W4229442263,Recommender System Technologies,Information Systems,Computer Science,Physical Sciences
W4229442263,Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences
W4229442263,Graph Neural Network Models and Applications,Artificial Intelligence,Computer Science,Physical Sciences
W4280491585,Fundamental Issues in Flow Boiling Heat Transfer,Mechanical Engineering,Engineering,Physical Sciences
W4280491585,Multiobjective Optimization in Evolutionary Algorithms,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4280491585,Refrigeration Systems and Technologies,Mechanical Engineering,Engineering,Physical Sciences
W4280508892,Fuzzy Logic and Residuated Lattices,Computational Theory and Mathematics,Computer Science,Physical Sciences
W4280508892,Multi-Criteria Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4280508892,Application of Soft Set Theory in Decision Making,Management Science and Operations Research,Decision Sciences,Social Sciences
W4280525177,Time Series Forecasting Methods,Management Science and Operations Research,Decision Sciences,Social Sciences
W4280525177,Electricity Price and Load Forecasting Methods,Electrical and Electronic Engineering,Engineering,Physical Sciences
W4280525177,Predicting Stock Market Trends and Movements,Management Science and Operations Research,Decision Sciences,Social Sciences
W4280541407,Recommender System Technologies,Information Systems,Computer Science,Physical Sciences
W4280541407,Detection and Prevention of Phishing Attacks,Information Systems,Computer Science,Physical Sciences
W4280541407,Data Mining Techniques and Applications,Information Systems,Computer Science,Physical Sciences
W4280582114,Photovoltaic Maximum Power Point Tracking Techniques,"Renewable Energy, Sustainability and the Environment",Energy,Physical Sciences
W4280582114,Control and Synchronization in Microgrid Systems,Control and Systems Engineering,Engineering,Physical Sciences
W4280582114,Multilevel Converters in Power Electronics,Electrical and Electronic Engineering,Engineering,Physical Sciences
