work_id,keyword
W4205655330,Fuzzy Sets
W4205655330,Group Decision Making
W4205655330,Intuitionistic Fuzzy Sets
W4205655330,Soft Set Theory
W4205655330,Soft computing
W4205812147,Computational Complexity
W4205939747,Adaptive Dynamic Programming
W4205939747,Emphasis (telecommunications)
W4205939747,Intelligent Control
W4205939747,Optimal Control
W4205939747,Optimization
W4206016550,Edge Computing
W4206016550,Mobile Edge Computing
W4206041150,Cooperative Adaptive Cruise Control
W4206041150,Overshoot (microwave communication)
W4206041150,Reinforcement Learning
W4206041150,Settling time
W4206075111,Decision Analysis
W4206075111,Environmental Decision Making
W4206075111,Group Decision Making
W4206075111,MCDM Methods
W4206075111,Three-Way Decisions
W4206094475,Closed captioning
W4206094475,Image Captioning
W4206094475,Language Understanding
W4206094475,Video Summarization
W4206094475,Visual Question Answering
W4206195463,Categorical variable
W4206195463,Decision Analysis
W4206195463,Feature Selection
W4206195463,Fuzzy Sets
W4206195463,GIS-based Decision Analysis
W4206195463,Intuitionistic Fuzzy Sets
W4206417793,Eye Movements
W4206417793,Face Perception
W4206417793,Object Recognition
W4206417793,Top-Down Attention
W4206417793,Visual Attention
W4206515154,Benchmark (surveying)
W4206515154,Differential evolution
W4206515154,Global Optimization
W4206515154,Information sharing
W4206515154,Optimization
W4206515154,Optimization Applications
W4206588195,Carry (investment)
W4206588195,Statistical Timing Analysis
W4206681343,Affect (linguistics)
W4206681343,Aspect-based Sentiment Analysis
W4206681343,Confusion
W4206681343,Sentiment Analysis
W4206722902,Autonomous system (mathematics)
W4206722902,Cooperative Adaptive Cruise Control
W4206722902,Intelligent Transportation Systems
W4206722902,Traffic Assignment
W4206722902,Traffic Flow
W4206722902,Trustworthiness
W4206722902,Urban Traffic
W4206722902,Vehicle routing problem
W4206740177,Global Optimization
W4206740177,Local optimum
W4206740177,Multi-Objective Optimization
W4206740177,Nature-Inspired Algorithms
W4206740177,Optimization Applications
W4206740177,Particle Swarm Optimization
W4206740177,Premature convergence
W4206780588,Activity Recognition
W4206780588,Ambient Intelligence
W4206983514,2019-20 coronavirus outbreak
W4206983514,Artificial Intelligences
W4206983514,Coronavirus
W4206983514,Identification (biology)
W4210410512,Chest X-Ray
W4210410512,Feature (linguistics)
W4210410512,Overfitting
W4210410512,Pandemic
W4210410512,Transfer of learning
W4210542188,Group Decision Making
W4210542188,Pandemic
W4210631880,Causality (physics)
W4210631880,Complaint
W4210631880,General knowledge
W4210631880,Imbalanced Data
W4210631880,Interpretability
W4210631880,Medical Image Analysis
W4210763735,Open research
W4210763735,Security Analysis
W4210780574,Data Hiding
W4210780574,Deep Learning
W4210780574,Differential Privacy
W4210780574,Visual learning
W4210827551,Aspect-based Sentiment Analysis
W4210827551,Emotion Recognition
W4210827551,Sentiment Analysis
W4210827551,Topic Modeling
W4210909794,Reinforcement Learning
W4210909794,Robot Learning
W4211060568,Feature Learning
W4211060568,Page layout
W4211060568,Retail Environment
W4211060568,Retail Management Strategies
W4212811301,External Data Representation
W4212811301,Feature (linguistics)
W4212811301,Feature learning
W4212811301,Feature vector
W4212811301,Persistent Homology
W4212811301,Representation (politics)
W4212811301,Shape Analysis
W4212811301,Statistical Topology
W4212811301,Topological Methods
W4212811301,Topological data analysis
W4212976523,Cone penetration test
W4212976523,Reliability Analysis
W4212976523,Slope Stability Analysis
W4212976523,Soil Liquefaction Potential
W4212976523,Soil liquefaction
W4212976523,Standard penetration test
W4213347256,Adaptability
W4213347256,Group Decision Making
W4213347256,Operator (biology)
W4213347256,Weight function
W4214551700,Audio Event Detection
W4214551700,Audio Signal Classification
W4214551700,Audio-Visual Speech Recognition
W4214551700,Benchmark (surveying)
W4214551700,Confusion
W4214551700,Environmental Sound Recognition
W4214551700,Margin (machine learning)
W4214551700,Speech Enhancement
W4214667230,Consumption (sociology)
W4214667230,Demand response
W4214667230,Environmental pollution
W4214667230,Grid Synchronization
W4214667230,Microgrid Control
W4214667230,Smart Grid Applications
W4214667230,Smart Grids
W4214944148,Dimensionality Reduction
W4214944148,Discriminative model
W4214944148,Emotion Recognition
W4214944148,Expression (computer science)
W4214944148,Face Recognition
W4214944148,Feature (linguistics)
W4214944148,Feature Extraction
W4214944148,Feature Selection
W4214944148,Feature learning
W4214944148,Representation (politics)
W4220667522,Load Forecasting
W4220698980,Interpretable Models
W4220698980,Machine vision
W4220698980,Model Interpretability
W4220698980,Representation Learning
W4220698980,Vision science
W4220698980,Visual Explanations
W4220698980,Visual Recognition
W4220717373,Ensemble Learning
W4220717373,Imbalanced Data
W4220736817,Component (thermodynamics)
W4220736817,Economic shortage
W4220736817,Generative model
W4220736817,Language Modeling
W4220736817,Language Understanding
W4220736817,Neural Machine Translation
W4220736817,Paragraph
W4220736817,Topic Modeling
W4220736817,Visual Question Answering
W4220756552,Feature Extraction
W4220756552,Image Analysis
W4220756552,Low-Light Enhancement
W4220756552,Underwater Imaging
W4220813863,Fabric Defect Detection
W4220813863,Fabric Testing
W4220813863,Strengths and weaknesses
W4220813863,Surface Defect Detection
W4220813863,Textile
W4220813863,Textile Engineering
W4220813863,Texture Analysis
W4220813863,Woven fabric
W4220842692,Group Decision Making
W4220842692,Preference relation
W4220864385,Data set
W4220864385,Feature (linguistics)
W4220864385,Feature Selection
W4220864385,Heuristics
W4220864385,Implementation
W4220864385,Robust Learning
W4220891597,Conceptual clustering
W4220891597,Ensemble learning
W4220891597,Feature Selection
W4220891597,Interpretability
W4220891597,Representation (politics)
W4220891597,Topic Modeling
W4220912476,Petri Nets
W4220912476,Representation (politics)
W4220912476,Stochastic Petri Nets
W4220922919,3D Mapping
W4220922919,3D Reconstruction
W4220922919,Point Clouds
W4220922919,Point Set Surfaces
W4220922919,Representation (politics)
W4220969749,Constructive
W4220969749,Fuzzy Goal Programming
W4220969749,Fuzzy Sets
W4220969749,Intuitionistic Fuzzy
W4220969749,Intuitionistic Fuzzy Sets
W4220969749,Vehicle Routing Problem
W4220986642,Heart Disease Prediction
W4221010276,Air Quality Monitoring
W4221010276,Exposure Assessment
W4221010276,Fine Particulate Air Pollution
W4221010276,Fuzzy Sets
W4221010276,Imputation (statistics)
W4221010276,Intuitionistic Fuzzy Sets
W4221032146,Benchmark (surveying)
W4221032146,Constraint Handling
W4221032146,Heuristics
W4221032146,Local optimum
W4221032146,Multi-Objective Optimization
W4221032146,Nature-Inspired Algorithms
W4221032146,Particle Swarm Optimization
W4221032146,Premature convergence
W4221122242,Edge Computing
W4221122242,Edge device
W4221122242,Federated Learning
W4221122242,Fog Computing
W4221122242,Implementation
W4221122242,Mobile Edge Computing
W4223453456,Constraint Handling
W4223453456,Engineering optimization
W4223453456,Global Optimization
W4223453456,Optimization Applications
W4223453456,Parallel metaheuristic
W4223453456,Search-based software engineering
W4223453456,Test suite
W4223903624,Audio Event Detection
W4223903624,Diagnostic Aids
W4223903624,Dilation (metric space)
W4223903624,Energy operator
W4223903624,Environmental Sound Recognition
W4223903624,Phonocardiogram
W4223903624,Signal Analysis
W4223903624,Sobel operator
W4224013576,Deep Learning
W4224013576,Interpretability
W4224013576,Scope (computer science)
W4224035554,Aspect-based Sentiment Analysis
W4224035554,Emotion Recognition
W4224035554,Leverage (statistics)
W4224035554,Multi-label Learning
W4224035554,Sentiment Analysis
W4224035554,Sequence-to-Sequence Learning
W4224035554,Transfer of learning
W4224037847,Ensemble Methods
W4224037847,Imbalanced Data
W4224037847,Meta-Learning
W4224037847,Multi-label Learning
W4224037847,Oversampling
W4224037847,Robust Learning
W4224037847,Stratified sampling
W4224082478,3D ultrasound
W4224082478,Image Segmentation
W4224082478,MRI Segmentation
W4224213141,Benchmark (surveying)
W4224213141,Data set
W4224213141,Model Selection
W4224213141,Point estimation
W4224213141,Prediction interval
W4224243673,Open research
W4224243673,Ultra-Wideband
W4224248396,Substation Inspection
W4224437581,Automated Diagnosis
W4224437581,Diabetic Retinopathy
W4224437581,Fundus (uterus)
W4224437581,Retinal Disease
W4225277427,Code (set theory)
W4225277427,Discriminative model
W4225277427,Facial Landmark Detection
W4225277427,Feature Learning
W4225277427,Robustness (evolution)
W4225277427,Texture (cosmology)
W4225294432,Ant Colony Optimization
W4225294432,Ant colony
W4225294432,Benchmark (surveying)
W4225294432,Multi-Depot Routing
W4225821329,Constraint Logic Programming
W4225821329,Formal proof
W4225821329,Nonmonotonic Reasoning
W4225821329,Proof complexity
W4226062099,Global Optimization
W4226062099,Nature-Inspired Algorithms
W4226062099,Optimization Applications
W4226062099,Particle Swarm Optimization
W4226062099,Self-Organizing Maps
W4226062099,Swarm intelligence
W4226083961,Image Segmentation
W4226083961,Market segmentation
W4226083961,Multiple Object Tracking
W4226083961,Object Recognition
W4226083961,Object Tracking
W4226083961,Video Object Segmentation
W4226181943,Optical Flow
W4226181943,Super-Resolution
W4226181943,Video post-processing
W4226322152,Granular Computing
W4226424013,Collaborative Filtering
W4226424013,Content-Based Recommendation
W4226424013,Relational Data Modeling
W4226424013,Social network (sociolinguistics)
W4226424013,Trust-Aware Recommender Systems
W4226424013,User Modeling
W4226424035,Graph Convolutional Networks
W4226424035,Graph Neural Networks
W4226424035,Interpretability
W4226424035,Knowledge Graph Embedding
W4226424035,Signal Processing on Graphs
W4226424035,Visual Question Answering
W4226459955,Defuzzification
W4226459955,Fuzzy Rough Sets
W4226459955,Fuzzy Sets
W4226459955,Fuzzy mathematics
W4226459955,Intuitionistic Fuzzy Sets
W4229012814,Artificial Intelligences
W4229012814,CLARITY
W4229012814,Comparability
W4229012814,HR Technology
W4229012814,Recruitment
W4229012814,Selection Procedures
W4229442263,Content-Based Recommendation
W4229442263,Context-Aware Recommender Systems
W4229442263,Information overload
W4229442263,Representation Learning
W4229442263,Strengths and weaknesses
W4229442263,Topic Modeling
W4280491585,Multi-Objective Optimization
W4280491585,Optimization algorithm
W4280491585,Particle Swarm Optimization
W4280491585,Swarm intelligence
W4280508892,Cartesian product
W4280508892,Interval-Valued Fuzzy Sets
W4280508892,Intuitionistic Fuzzy Sets
W4280508892,Lexicographical order
W4280508892,Representation (politics)
W4280508892,Soft Set Theory
W4280508892,Soft set
W4280508892,Statement (logic)
W4280525177,Data pre-processing
W4280525177,Demand Forecasting
W4280525177,Forecast Combination
W4280525177,Forecasting
W4280525177,Forecasting Models
W4280525177,Load Forecasting
W4280541407,Association (psychology)
W4280541407,Web Mining
W4280582114,Grid-tie inverter
W4280582114,Multilevel Converters
W4280582114,PV System
W4280582114,PWM Strategies
W4280582114,Renewable Energy Integration
W4280582114,Three-phase
W4280582114,Voltage Source Inverters
W4280590401,Decision Analysis
W4280590401,Decision Trees
W4280590401,Sample (material)
W4280590401,Three-Way Decisions
W4280649903,Bot Detection
W4280649903,Botnet Detection
W4280649903,Phishing
W4280649903,Review Spam
W4280649903,Spam Detection
W4281262808,Data Privacy
W4281262808,Differential Privacy
W4281262808,Privacy Concerns
W4281262808,Privacy Preservation
W4281262808,Safeguarding
W4281262808,Traceability
W4281286562,Decision-making
W4281286562,Intuitionistic Fuzzy Sets
W4281286562,Soft Set Theory
W4281286562,Soft computing
W4281286562,Soft set
W4281399117,Information sharing
W4281399117,Named Entity Recognition
W4281663336,Adaptive Control
W4281663336,Benchmark (surveying)
W4281663336,Controller Tuning
W4281663336,Nonlinear Control
W4281663336,Optimization
W4281663336,PID Controller
W4281663336,Robustness (evolution)
W4281703385,Camera Model Identification
W4281703385,Digital Forensics
W4281703385,Ethics of Courtroom Imagery
W4281703385,Image Authentication
W4281703385,Image Forgery Detection
W4281703385,Mistake
W4281703385,Popularity
W4281912025,Artificial Intelligences
W4281912025,Frontier
W4281930622,Content-Based Recommendation
W4281930622,Context-Aware Recommender Systems
W4281930622,Educational Data Mining
W4281930622,Online Learning
W4281930622,Trust-Aware Recommender Systems
W4281962665,Bioimage Analysis
W4281962665,Medical Image Analysis
W4283069536,Benchmark (surveying)
W4283069536,Discriminative model
W4283069536,Emotion Recognition
W4283069536,Saliency Detection
W4283069536,Salient Object Detection
W4283069536,Sentiment analysis
W4283069536,Visual Attention
W4283069536,Wireless Sensor Networks
W4283157120,Group Decision Making
W4283157120,Intuitionistic Fuzzy
W4283157120,Intuitionistic Fuzzy Sets
W4283157120,MCDM Methods
W4283157120,Multi-Objective Optimization
W4283203948,Nature-Inspired Algorithms
W4283203948,Particle Swarm Optimization
W4283213885,Action Recognition
W4283213885,Cross-View Recognition
W4283213885,Deep Learning
W4283213885,Robustness (evolution)
W4283213885,Skeleton-Based Recognition
W4283275666,Convolutional Networks
W4283275666,Feedforward Neural Networks
W4283275666,Pattern Classification
W4283275666,Recurrent Neural Networks
W4283275666,Temporal Convolutional Networks
W4283461979,Ant Colony Optimization
W4283461979,Firefly Algorithm
W4283461979,Metaheuristics
W4283461979,Nature-Inspired Algorithms
W4283461979,Optimization Applications
W4283461979,Optimization algorithm
W4283461979,Parallel metaheuristic
W4283578180,Deep Learning
W4283578180,Feature (linguistics)
W4283578180,Few-Shot Learning
W4283578180,Hierarchical clustering
W4283578180,Representation Learning
W4283578180,Semi-Supervised Learning
W4283578180,Transfer Learning
W4283585133,Application-specific integrated circuit
W4283585133,Brain-inspired Computing
W4283585133,Deep Learning
W4283585133,Neural Network Architectures
W4283585133,Neuromorphic Computing
W4283585133,SIMD
W4283645714,Benchmark (surveying)
W4283645714,Constraint Handling
W4283645714,Cuckoo search
W4283645714,Differential evolution
W4283645714,Multi-Objective Optimization
W4283645714,Nature-Inspired Algorithms
W4283645714,Optimization Applications
W4283645714,Particle Swarm Optimization
W4283645714,Robustness (evolution)
W4283763275,Purchasing process
W4283763275,Resource Efficiency
W4283763275,Sentiment analysis
W4283764803,Deep Learning
W4283764803,Mainstream
W4283764803,Stock (firearms)
W4283764803,Stock Market Prediction
W4283803271,Drone Applications
W4283803271,Globe
W4283803271,Internet of Things
W4283803271,IoT Security
W4283814693,Aspect-based Sentiment Analysis
W4283814693,Emotion Recognition
W4283814693,Sentiment Analysis
W4283817886,Defuzzification
W4283817886,Fuzzy Differential Equations
W4283817886,Fuzzy Sets
W4283817886,Group Decision Making
W4283817886,Intuitionistic Fuzzy Sets
W4283817886,Random Fuzzy Variables
W4283817886,Value (mathematics)
W4285091076,Collaborative Filtering
W4285091076,Content-Based Recommendation
W4285091076,Context-Aware Recommender Systems
W4285091076,Spoken Dialogue Systems
W4285091076,Trust-Aware Recommender Systems
W4285676605,Change Detection
W4285676605,Concept Drift
W4285676605,Data Streams
W4285676605,Labeled data
W4285676605,Multi-label classification
W4285676605,Positive and Unlabeled Data
W4285796263,Behavior Trees
W4285796263,Branching (polymer chemistry)
W4285796263,Monte Carlo Tree Search
W4285796263,Real-Time Strategy Games
W4285796263,Tree (set theory)
W4285796576,Industrial Applications
W4285796576,Multi-Objective Optimization
W4286795081,Pruning
W4286795081,Robust Learning
W4286906772,Deep Learning
W4286906772,Neural Network Architectures
W4287307793,Benchmark (surveying)
W4287307793,Constraint Handling
W4287307793,Global Optimization
W4287307793,Levenberg–Marquardt algorithm
W4287307793,Load Forecasting
W4287307793,Multi-Objective Optimization
W4287307793,Optimization Applications
W4287577628,Constraint Handling
W4287577628,Dominance (genetics)
W4287577628,Heuristics
W4287577628,Metaheuristics
W4287577628,Multi-Objective Optimization
W4287577628,Optimization
W4287577628,Optimization Applications
W4287992808,Carsharing Systems
W4287992808,Component (thermodynamics)
W4287992808,Dynamic Ride-Sharing
W4287992808,Mobility as a Service
W4287992808,Public Transit Integration
W4287992808,Relocation
W4287992808,Ridesharing
W4288690437,Fuzzy Rough Sets
W4288690437,Granular Computing
W4288690437,Information Granulation
W4288690437,Probabilistic Rough Sets
W4288690437,Three-Way Decisions
W4289638136,Decision Analysis
W4289638136,Feature (linguistics)
W4289638136,Feature Selection
W4289638136,GIS-based Decision Analysis
W4289638136,Probabilistic Rough Sets
W4289860834,Face Recognition
W4289860834,Face Spoof Detection
W4289860834,Facial Expression Analysis
W4289860834,Facial Landmark Detection
W4289860834,Feature Learning
W4289860834,Sample (material)
W4289868942,Disease Risk Prediction
W4289868942,Hierarchical clustering
W4289868942,Personalized medicine
W4289868942,Subtyping
W4290992098,Data-driven Education
W4290992098,Educational Data Mining
W4290992098,Learning Analytics
W4290992098,Online Learning
W4290992098,Performance prediction
W4290992098,Student Performance Prediction
W4291993480,Image Segmentation
W4291993480,MRI
W4291993480,MRI Segmentation
W4291993480,Market segmentation
W4291993480,Medical Image Analysis
W4291993480,Medical Imaging
W4291993480,Modalities
W4291993480,Modality (human–computer interaction)
W4292059111,Ant Colony Optimization
W4292059111,Benchmark (surveying)
W4292059111,Friedman test
W4292059111,Local optimum
W4292059111,Optimization algorithm
W4292059111,Rank (graph theory)
W4292059111,Robustness (evolution)
W4292197747,Fault Diagnosis
W4292197747,Prognostics
W4292197747,Transfer of learning
W4292289323,EDAS
W4292289323,Fuzzy Goal Programming
W4292289323,Fuzzy Sets
W4292289323,Group Decision Making
W4292289323,Intuitionistic Fuzzy
W4292289323,Intuitionistic Fuzzy Sets
W4292289324,Active Learning
W4292289324,Aside
W4292289324,Human-in-the-loop
W4292289324,Inductive transfer
W4292289324,Instance-based learning
W4292289324,Meta-Learning
W4292289324,Responsibility in AI
W4292289324,Robust Learning
W4292372012,Component (thermodynamics)
W4292372012,Decision-making
W4292372012,Educational Data Mining
W4292372012,Learning Analytics
W4292372012,Predictive Analysis
W4292372012,Predictive analytics
W4292372012,Student Performance Prediction
W4293213129,Dynamic Scheduling
W4293213129,Heuristic Algorithms
W4293213129,Hybrid Optimization
W4293213129,Hyper-heuristic
W4293213129,Metaheuristic Algorithms
W4293213129,Parallel metaheuristic
W4293213129,Scheduling
W4293248357,Analytic Hierarchy Process
W4293248357,Group Decision Making
W4293248357,MCDM Methods
W4293248357,Operator (biology)
W4293248357,Realization (probability)
W4293288724,Group Decision Making
W4293295050,Feature (linguistics)
W4293295050,Feature Extraction
W4293295050,Multivariate Classification
W4293295050,Pattern Discovery
W4293295050,Pattern Recognition
W4293295050,System Identification
W4293317991,Anomaly Detection
W4293317991,Autoencoder
W4293317991,Intrusion Detection
W4293317991,Outlier Detection
W4293317991,Video Analysis
W4293317991,Visual Tracking
W4293795081,Active contour model
W4293795081,Deep Learning
W4293795081,Diabetic Retinopathy
W4293795081,Fraud Detection
W4293795081,Fundus (uterus)
W4293795081,Image Analysis
W4294566414,Human-Robot Collaboration
W4294566414,Robot Navigation
W4294566414,Workspace
W4294653840,Artificial general intelligence
W4294653840,Blueprint
W4294653840,Clinical Decision Support
W4294653840,Cognitive robotics
W4294653840,Decision Support
W4294653840,Generality
W4294740730,Artificial Intelligences
W4294740730,Interpretable Models
W4294740730,Machine Learning Interpretability
W4294740730,Model Interpretability
W4294740730,Responsibility in AI
W4294817101,Arrhythmia Detection
W4294817101,Cardiac Health Diagnosis
W4294817101,Daubechies wavelet
W4294817101,ECG Signal
W4294817101,EEG Analysis
W4294817101,Epilepsy Detection
W4294930473,Compressed Sensing
W4294930473,Dictionary Learning
W4294930473,Implementation
W4294930473,Sparse Approximation
W4295008492,Guideline
W4295008492,Predictive Maintenance
W4295008492,Prognostics
W4295008492,Strengths and weaknesses
W4295120388,Cognitive robotics
W4295120388,Embodied agent
W4295120388,Rubric
W4295120388,Simulation to Real-world Transfer
W4295457756,Fuzzy Sets
W4295457756,Group Decision Making
W4295457756,Intuitionistic Fuzzy Sets
W4295457756,Similarity (geometry)
W4295457756,Similarity measure
W4295926801,Black–Litterman model
W4295926801,Optimization
W4295926801,Portfolio Optimization
W4295926801,Robust Optimization
W4296020838,Centroid
W4296020838,Density-based Clustering
W4296020838,Fuzzy Clustering
W4296020838,Fuzzy Sets
W4296020838,Initialization
W4296020838,Intuitionistic Fuzzy Sets
W4296020838,Stream Data Clustering
W4296045111,Blockchain
W4296045111,Federated Learning
W4296045111,Searchable Encryption
W4296045111,Upload
W4296077725,Benchmark (surveying)
W4296077725,Differential evolution
W4296077725,Particle Swarm Optimization
W4296077725,Premature convergence
W4296077725,Similarity (geometry)
W4296139711,Closed captioning
W4296139711,Image Annotation
W4296139711,Image Captioning
W4296186746,Decision Analysis
W4296186746,Initialization
W4296186746,Similarity (geometry)
W4296186746,Three-Way Decisions
W4296186746,Transfer of learning
W4296297582,Granular Computing
W4296297582,Granularity
W4296297582,Granulation
W4296297582,Information Granulation
W4296297582,Matrix (chemical analysis)
W4296461299,Feature (linguistics)
W4296461299,Feature Selection
W4296636191,Grid Synchronization
W4296636191,Load Forecasting
W4296636191,Microgrid
W4296636191,Microgrid Control
W4296636191,Renewable Energy Integration
W4296636191,Smart Grid Applications
W4296929390,Identification (biology)
W4296929390,Plant Disease Detection
W4296929390,Plant identification
W4296929390,Vegetation Classification
W4296935237,Autoencoder
W4296935237,Ensemble Learning
W4296935237,Feature (linguistics)
W4296935237,Feature learning
W4296935237,Image Segmentation
W4296935237,MNIST database
W4296935237,Meta-Learning
W4296935237,Representation Learning
W4296935237,Transfer Learning
W4297051238,Aspect-based Sentiment Analysis
W4297051238,Emotion Recognition
W4297051238,Page Segmentation
W4297051238,Sentiment Analysis
W4297051238,Web Data Extraction
W4297092710,Alpha (finance)
W4297092710,Buffer Management
W4297092710,Constraint Handling
W4297092710,Learning Automata
W4297092710,Optimization Applications
W4297092710,Performance Optimization
W4297092710,Pruning
W4297227993,Control reconfiguration
W4297227993,Swarm Robotics
W4297227993,Swarm intelligence
W4297491563,Nature-Inspired Algorithms
W4297491563,Optimization
W4297491563,Optimization algorithm
W4297491563,Particle Swarm Optimization
W4297491563,Swarm intelligence
W4297548914,In Vivo Imaging
W4297826536,Base (topology)
W4297826536,Control Systems
W4297826536,Control variable
W4297826536,Hedge
W4297826536,Hybrid Modeling
W4297826536,Interpolation (computer graphics)
W4297826536,State variable
W4297903184,Demand Forecasting
W4297903184,Differential evolution
W4297903184,Dynamic Scheduling
W4297903184,Environmentally friendly
W4297903184,Inventory Management
W4297903184,Order Picking
W4297903184,Profit maximization
W4297903184,Warehouse Design
W4298000417,Extraction
W4298000417,Information Retrieval
W4298000417,Linguistic Knowledge
W4298000417,Relationship extraction
W4298000417,Scope (computer science)
W4298000417,Web Data Extraction
W4298124436,Competitor analysis
W4298124436,Cornerstone
W4298124436,Dual-Channel Supply Chains
W4298124436,Supply Chain Resilience
W4298124436,Supply Network Complexity
W4300717046,Constraint Optimization
W4300717046,Distributed Algorithms
W4300717046,Optimization
W4300717046,Soft Constraints
W4302288256,Constraint Handling
W4302288256,Fractional Order Control
W4302288256,Nonlinear Programming
W4302288256,Quadratic Programming
W4302288256,Robustness (evolution)
W4302288256,Semidefinite Programming
W4302775088,Incremental learning
W4302775088,Meta-Learning
W4302775088,Representation Learning
W4302775088,Semi-Supervised Learning
W4302775088,Transfer Learning
W4302775088,Unsupervised Learning
W4303415883,Benchmark (surveying)
W4303415883,Fuzzy Rough Sets
W4303415883,Fuzzy Sets
W4303415883,Intuitionistic Fuzzy Sets
W4303415883,Setback
W4303415883,Vagueness
W4303579230,Action Recognition
W4303579230,Motion Detection
W4303579230,Video Analysis
W4303579230,Visual Tracking
W4303710087,Condition Monitoring
W4303710087,Predictive Maintenance
W4303710087,Process Monitoring
W4303710087,Rotating Machinery
W4303710087,Troubleshooting
W4303710087,Vibration Analysis
W4303984810,Fault Diagnosis
W4303984810,Predictive Maintenance
W4303984810,Rotating Machinery
W4304098281,Interpretability
W4304098281,Robust Learning
W4304098281,Robustness (evolution)
W4304175779,Data set
W4304175779,Deformable Image Registration
W4304175779,Image registration
W4304175779,Interest Point Detectors
W4304175779,Object Recognition
W4304175779,Point set registration
W4304187656,Constraint Handling
W4304187656,Nature-Inspired Algorithms
W4304187656,Optimization Applications
W4304187656,Sine
W4304698333,Deep Learning
W4304698333,Feature engineering
W4304698333,Feature learning
W4304698333,Relational Data Modeling
W4304698333,Representation (politics)
W4304698333,Representation Learning
W4304698333,Topic Modeling
W4304698333,Word Representation
W4306292106,Air Quality Monitoring
W4306292106,Building Energy Consumption
W4306292106,Building Performance
W4306292106,Building automation
W4306292106,Building management system
